review_id,review_snippet,score,pred_sentiment,action,summary,ner_locations,Discount_Code,true_sentiment,Rec_1_City,Rec_1_Country,Rec_1_Reason,Rec_1_Activities,Rec_2_City,Rec_2_Country,Rec_2_Reason,Rec_2_Activities,Rec_3_City,Rec_3_Country,Rec_3_Reason,Rec_3_Activities
7a823fbc-e97b-4e8b-8fb0-f60dfb79a8ef,hotel america nice hotel good location stayed 3 ni...,3,neutral,DISCOUNT,"The hotel has a great location and modern rooms, but issues with noise and comfort affected the overall experience.","spain, las ramblas, america",SORRY_2026,neutral,,,,,,,,,,,,
f88c2efb-7a35-4f9b-bab6-e5da51a6fb66,lovely hotel service ruined stayed flamenco 1st de...,3,negative,DISCOUNT,"The hotel had great amenities and experiences, but the service was consistently poor and frustrating.",,SORRY_2026,neutral,,,,,,,,,,,,
7d0d6450-9f39-4aa6-bda7-4ba3ae3f0515,clean safe hotel husband stayed hotel colomba 3 ni...,4,positive,RECOMMENDATION,"The hotel is clean, safe, and offers friendly service, making it a cozy and affordable choice for a comfortable stay.",,,positive,Florence,Italy,RAG_Activity_Match,"Uffizi Gallery visit, Gelato tasting",Florence,Italy,RAG_Activity_Match,"Art gallery tour, Cooking class",Pisa,Italy,RAG_Activity_Match,"Leaning Tower visit, River walk"
fea96f41-ce1c-412b-879d-bde06540bb40,great location wonderful hotel wonderful time fair...,5,positive,RECOMMENDATION,"The review praises the Fairmont Copley Plaza for its great location, outstanding service, and memorable stay.",boston,,positive,Bruges,Belgium,RAG_Activity_Match,"Canal boat tour, Chocolate tasting",Bruges,Belgium,RAG_Activity_Match,"Canal cruise, Brewery visit",Monaco,Monaco,RAG_Activity_Match,"Casino visit, Yacht harbor tour"
e76aa181-5ed4-4de5-a868-797ae3905029,"decent hotel great location friendly staff, hotel,...",4,positive,RECOMMENDATION,"The hotel has a great location, friendly staff, clean rooms, and a good breakfast.",,,positive,Bucharest,Romania,RAG_Activity_Match,"Palace of Parliament tour, Historic center visit",Debrecen,Hungary,RAG_Activity_Match,"Thermal bath visit, Local market tour",Bucharest,Romania,RAG_Activity_Match,"Palace of Parliament tour, Old Town pub crawl"
9fc1c311-7b45-478e-a915-11aecbeacb46,not good choice barcelona stayed princess sofia ho...,2,negative,DISCOUNT,"The hotel was clean but lacked atmosphere and had unhelpful staff, making it a poor choice for a business trip.",barcelona,SORRY_2026,negative,,,,,,,,,,,,
7fc7fb0e-a3fb-49f1-8efe-2ddf2edff456,great hotel universitat great modern hotel excelle...,5,positive,RECOMMENDATION,"The hotel is modern, well-located, clean, and offers friendly service with a good breakfast deal.",catalunya,,positive,Barcelona,Spain,RAG_Activity_Match,"City tour, Nightlife tour, Food tasting",Bilbao,Spain,RAG_Activity_Match,"Guggenheim Museum visit, Pinxtos tour",Valencia,Spain,RAG_Activity_Match,"Paella workshop, City of Arts and Sciences visit"
8712623f-e89d-4b6f-a3b1-32f5b4b0f1ba,"disappointing definate positive negatives hotel, o...",2,negative,DISCOUNT,"The hotel experience was disappointing due to poor service, room allocation issues, and high prices, despite some positive aspects like room comfort and bathroom quality.",atmosphere.i,SORRY_2026,negative,,,,,,,,,,,,
743e19a1-98b8-414c-b095-50d7f5510949,"right hotel right time right place, arrived austra...",4,positive,RECOMMENDATION,"The hotel was convenient and clean, but overall characterless and bland.",australia,,positive,Frankfurt,Germany,RAG_Activity_Match,"Skyline tour, Museum Embankment visit",Innsbruck,Austria,RAG_Activity_Match,"Cable car ride, Old Town visit",Abu Dhabi,United Arab Emirates,RAG_Activity_Match,"Desert safari, Grand Mosque visit"
7793b79a-4bcd-4070-9350-e935584c2fe1,great weekend getaway perfect vacation rejuvenatin...,4,positive,RECOMMENDATION,The review highlights both positive aspects of the hotel experience and significant concerns about staff service and high food prices.,"san juan, carribean, u.s., puerto",,positive,Monaco,Monaco,RAG_Activity_Match,"Casino visit, Yacht harbor tour",Valencia,Spain,RAG_Activity_Match,"City of Arts and Sciences visit, Beach day",Valencia,Spain,RAG_Activity_Match,"Paella workshop, City of Arts and Sciences visit"
51d20b63-f801-47d5-ad0c-36806b2d6eb3,excellence right wife just returned excellence hon...,5,positive,RECOMMENDATION,"The review highlights the excellent amenities, service, and beautiful grounds of the resort, despite some minor issues with room views and language barriers.",uvero,,positive,Monaco,Monaco,RAG_Activity_Match,"Casino visit, Yacht harbor tour",Malaga,Spain,RAG_Activity_Match,"Beach day, Picasso Museum visit",Malaga,Spain,RAG_Activity_Match,"Beach day, Tapas tour"
5978199c-41be-4fe4-9743-2aea91e65159,palace not thought nice hotel think calling palace...,4,positive,RECOMMENDATION,"The hotel has beautiful beach and friendly service, but the room conditions and dining experience were disappointing.",,,positive,Limassol,Cyprus,RAG_Activity_Match,"Beach day, Castle visit",Malaga,Spain,RAG_Activity_Match,"Beach day, Tapas tour",Bucharest,Romania,RAG_Activity_Match,"Palace of Parliament tour, Historic center visit"
f4bfef72-319a-4656-aa14-f7434fc7aef6,good city hotel booked belgian travel agent modern...,4,positive,RECOMMENDATION,"The hotel offers a good value with a modern style, clean rooms, fantastic breakfast, and a convenient location.",catalunya,,positive,Barcelona,Spain,RAG_Activity_Match,"City tour, Nightlife tour, Food tasting",Bilbao,Spain,RAG_Activity_Match,"Guggenheim Museum visit, Food tasting",Bilbao,Spain,RAG_Activity_Match,"Guggenheim Museum visit, Pinxtos tour"
96ac4277-fbb0-4ac3-8fe0-50b192d779ad,"bring water, lovely hotel bit 5* prices especially...",4,positive,RECOMMENDATION,"The hotel is clean and has good service, but the high prices for drinks and limited English TV channels are disappointing.",,,positive,Budapest,Hungary,RAG_Activity_Match,"Thermal bath visit, Ruin bar tour",Valletta,Malta,RAG_Activity_Match,"Harbor cruise, Historical sites",Limassol,Cyprus,RAG_Activity_Match,"Beach day, Castle visit"
455b2a7b-5b27-4c49-a788-54f1bd503a7b,great resort problems march 21-29. say resort wond...,2,negative,DISCOUNT,"The resort had beautiful grounds and pools, but numerous issues with service, room amenities, and charges left a sour experience.",cuba,SORRY_2026,negative,,,,,,,,,,,,
a52e33b5-37de-4157-84e2-21dd3abe5339,"dump, place dump, incredibly noisy windows closed ...",1,negative,DISCOUNT,"The hotel experience was extremely disappointing due to noise, rude staff, poor facilities, and an overall rundown condition.",italy,SORRY_2026,negative,,,,,,,,,,,,
f8c8bbdd-4cda-4b17-8d3e-11df6b5482d8,n't understand hype reading great reviews hotel un...,2,negative,DISCOUNT,"The reviewer was disappointed with the noisy, old rooms and unhelpful staff, despite the hotel's ideal location.",,SORRY_2026,negative,,,,,,,,,,,,
c762fc72-4661-4dd5-ba10-d0e31fe24fef,"weekend stayed nights february noise unbearable, f...",2,negative,DISCOUNT,"The review highlights significant noise issues, low water pressure, and frequent staff interruptions, leading to a negative experience.",,SORRY_2026,negative,,,,,,,,,,,,
a3858ce9-7143-479b-a4f0-e47d97573069,"wrong hotel looked room resrvied smeeled vomit, no...",1,negative,DISCOUNT,The reviewer had a very unpleasant experience with a room that smelled bad and was not the correct hotel.,,SORRY_2026,negative,,,,,,,,,,,,
e35ce9c4-4967-444c-8f6b-77aa04bc6972,bathroom shower hotel staff good.you sit bathtub o...,3,negative,DISCOUNT,"The hotel had good staff, but the bathroom setup was inconvenient and there was no refrigerator in the room.",,SORRY_2026,neutral,,,,,,,,,,,,
f0339793-120f-46de-97bc-1d4e6459ac44,"excellent location rooms adults, room quite small,...",5,positive,RECOMMENDATION,"The hotel has an excellent location and air conditioning, but the rooms are quite small.",,,positive,Nice,France,RAG_Activity_Match,"Beach day, Old Town walk",Bordeaux,France,RAG_Activity_Match,"Wine château tour, Riverside walk",Nice,France,RAG_Activity_Match,"Beach day, Museum visit"
0ce57aae-d7ec-4284-bb45-6915f33566b6,overall disappointed stayed 3 days having spent 3 ...,2,negative,DISCOUNT,"The reviewer expresses disappointment with the resort, citing poor food quality, lack of lively atmosphere, and inadequate service.",punta cana,SORRY_2026,negative,,,,,,,,,,,,
b648f3fb-e57e-4b9e-88c0-352f9445fce7,basic needs met affordable city hotels not dearth ...,3,neutral,DISCOUNT,The hotel meets basic needs at an affordable price but lacks special features for families or tourists.,boston,SORRY_2026,neutral,,,,,,,,,,,,
7472f807-6271-4cce-9c75-59c0b82d6497,"great location best thing hotel location, door uff...",5,positive,RECOMMENDATION,"The hotel had a great location and helpful staff, but the experience was marred by incompetent and arrogant billing staff.",,,positive,Florence,Italy,RAG_Activity_Match,"Art gallery tour, Cooking class",Florence,Italy,RAG_Activity_Match,"Uffizi Gallery visit, Gelato tasting",Pisa,Italy,RAG_Activity_Match,"Leaning Tower visit, River walk"
e3ce7e7e-1fa8-4f44-962a-839957640fc8,"great seattle spot second stay times seattle boat,...",5,positive,RECOMMENDATION,"The hotel has a great location and spacious rooms, but the beds are too soft and the coffee is average.",seattle,,positive,Seville,Spain,RAG_Activity_Match,"Cathedral tour, River cruise",Rotterdam,Netherlands,RAG_Activity_Match,"Architecture tour, Harbor cruise",Hamburg,Germany,RAG_Activity_Match,"Harbor boat ride, Museum visit"
a840815f-0c4f-4a3f-b003-2c6954443a51,good bed clean convenient just night happy stay ho...,4,positive,RECOMMENDATION,"The hotel offers a comfortable stay with clean rooms, courteous staff, and a convenient location.",seattle,,positive,Jeddah,Saudi Arabia,RAG_Activity_Match,"Historic Al-Balad tour, Seafront walk",Doha,Qatar,RAG_Activity_Match,"Souq Waqif visit, Museum of Islamic Art",Jeddah,Saudi Arabia,RAG_Activity_Match,"Red Sea dive, Historic Al-Balad tour"
42820f2d-59a1-4816-971b-8d474ff273f0,"wonderful location lots extra value, great locatio...",5,positive,RECOMMENDATION,"The hotel offers a wonderful location with great amenities and helpful staff, making it a valuable stay.",,,positive,Bordeaux,France,RAG_Activity_Match,"Wine château tour, Riverside walk",Porto,Portugal,RAG_Activity_Match,"Wine tasting, River cruise",Budapest,Hungary,RAG_Activity_Match,"Thermal bath visit, Nightlife tour"
83866621-75c8-404a-a1bc-eebf30518eb9,great staff great managment great time travel fami...,5,positive,RECOMMENDATION,"The review highlights the great staff and management, emphasizing a positive experience during family travel.",,,positive,Pamukkale,Turkey,RAG_Activity_Match,"Thermal pools, Ancient Hierapolis tour",Dubai,United Arab Emirates,RAG_Activity_Match,"Desert safari, Shopping spree",Dubai,UAE,RAG_Activity_Match,"Desert safari, Shopping spree"
80265f65-bceb-4755-9a21-ef71b6d3c1f2,convenient/good price airport hotel needed overnig...,3,negative,DISCOUNT,"The hotel is conveniently located and reasonably priced, but the service at the desk was indifferent and bordering on rude.",,SORRY_2026,neutral,,,,,,,,,,,,
08d9c012-bc4b-4fbd-9c43-2c59cbb62ac6,good hotel great holiday lots mixed reviews hotel ...,4,positive,RECOMMENDATION,"The hotel offers a great holiday experience with excellent food, large pools, and beautiful beach views, despite some minor issues with staff communication and entertainment.",,,positive,Malaga,Spain,RAG_Activity_Match,"Beach day, Picasso Museum visit",Limassol,Cyprus,RAG_Activity_Match,"Beach day, Castle visit",Varna,Bulgaria,RAG_Activity_Match,"Beach day, Nightlife tour"
eaf222d5-246e-4529-ba82-0a7947d00f52,"kidding, arrived riu palace macao punta cana week ...",1,negative,DISCOUNT,"The reviewer had a disappointing experience at Riu Palace Macao, citing poor service, uncomfortable accommodations, and inadequate dining options.","punta cana, macao",SORRY_2026,negative,,,,,,,,,,,,
fc62b8bf-4b33-4dc9-8c45-919173211173,outstanding having stayed incusives mexico star 5....,5,positive,RECOMMENDATION,"The reviewer had a great experience at Bahia Principe Punta Cana, praising the service, food, and beach compared to other resorts.","mexico, punta cana",,positive,Monaco,Monaco,RAG_Activity_Match,"Casino visit, Yacht harbor tour",Malaga,Spain,RAG_Activity_Match,"Beach day, Picasso Museum visit",Malaga,Spain,RAG_Activity_Match,"Beach day, Tapas tour"
195985c3-93f2-4e3d-9875-e3116b115e5d,ok just returned staying 7 days ocean blue include...,2,negative,DISCOUNT,"The review highlights numerous unpleasant experiences at the resort, including poor service, inadequate facilities, and unsatisfactory food quality.",,SORRY_2026,negative,,,,,,,,,,,,
f402bf6e-b097-497e-8488-9bcc2dc71713,nice resort like cold showers husband friends rece...,3,negative,DISCOUNT,"The resort has beautiful features but suffers from major issues with water pressure and inconsistent service, leading to a disappointing experience overall.","mexico, punta cana",SORRY_2026,neutral,,,,,,,,,,,,
984e83ce-b73a-4573-83f4-661f0ffa8227,poor cast won t speak speed spanish terrible engli...,1,negative,DISCOUNT,"The review highlights poor service, noise issues, and inadequate breakfast options.",,SORRY_2026,negative,,,,,,,,,,,,
8aa34d20-e6b0-4fc4-8897-2c19b7beeba4,"poor quality, stay absolutely, terrible sound proo...",1,negative,DISCOUNT,"The review expresses strong dissatisfaction with the hotel's poor quality, noise issues, lack of amenities, and unclean conditions.",,SORRY_2026,negative,,,,,,,,,,,,
6bb655f0-5fdb-4985-adc8-5308c24d046b,"book, stayed 4 nights excellent experience, rooms ...",5,positive,RECOMMENDATION,"The hotel offers spacious rooms, friendly staff, and an excellent breakfast buffet, making for an excellent stay.",,,positive,Bucharest,Romania,RAG_Activity_Match,"Palace of Parliament tour, Historic center visit",Barcelona,Spain,RAG_Activity_Match,"City tour, Nightlife tour, Food tasting",Debrecen,Hungary,RAG_Activity_Match,"Thermal bath visit, Local market tour"
da4a73e7-1bc8-4a4f-b2b2-866fe24b5618,worst hotel stayed did n't book hotel did sister h...,1,negative,DISCOUNT,"The review describes a terrible experience at the hotel, highlighting issues such as overbooking, noise, and an unpleasant view.",,SORRY_2026,negative,,,,,,,,,,,,
4f7dea72-6c44-40f3-ae62-bc11314c1fd9,budget hotel booked 3 nights stay hotel travel age...,2,negative,DISCOUNT,"The hotel room was too small and not as requested, with several unpleasant features, despite a good location.",singapore,SORRY_2026,negative,,,,,,,,,,,,
6889325d-e888-4c2a-8018-91f9dabe9cf2,"best hotel small price, beautiful luxury hotel sma...",5,positive,RECOMMENDATION,"The hotel offers luxury at a low price, with pleasant staff and a wonderful experience.",new orleans,,positive,Nice,France,RAG_Activity_Match,"Beach day, Museum visit",Paris,France,RAG_Activity_Match,"Museum visit, Wine tasting",Nice,France,RAG_Activity_Match,"Beach day, Old Town walk"
3843f24b-8178-4e0f-b5b6-2c43893ade07,"1 star paid 140 dollars 1 night room small no a/c,...",1,negative,DISCOUNT,"The reviewer had a very disappointing experience due to a small, stuffy room with dirty bedding and high additional costs.",,SORRY_2026,negative,,,,,,,,,,,,
51fd33df-ae91-4d3f-9006-e2c5b1ed724d,"quality value stay modern hotel good amenities, wh...",4,positive,RECOMMENDATION,The hotel offers good value for families visiting Amsterdam with modern amenities and affordable rates.,amsterdam,,positive,Amsterdam,Netherlands,NER_Location_Match,"Canal cruise, Museum visit",Amsterdam,Netherlands,NER_Location_Match,"Cycling tour, Van Gogh Museum visit",Rotterdam,Netherlands,RAG_Activity_Match,"Architecture tour, Harbor cruise"
c79b3ede-dd05-46b4-a90d-049f40118ad4,reasonable budget hotel stayed week end april 2005...,3,neutral,DISCOUNT,"The hotel is a reasonable budget option with clean rooms and decent amenities, but noise issues and location may be drawbacks.",,SORRY_2026,neutral,,,,,,,,,,,,
ccd2f505-6a92-442c-8be0-5440f4ece33f,"love love love, hotel best location paris- la mara...",5,positive,RECOMMENDATION,"The hotel has a fantastic location in Paris and unique room design, despite some functional inefficiencies.","marais, paris",,positive,Paris,France,NER_Location_Match,"Museum visit, Wine tasting",Toulouse,France,RAG_Activity_Match,"City tour, Food market visit",Nice,France,RAG_Activity_Match,"Beach day, Museum visit"
59be7a38-3ca2-4512-8cd6-cd9228be8861,love location not hotel not fault location hotel d...,2,negative,DISCOUNT,"The hotel did not meet expectations due to a small room, unhelpful staff, and issues with charges, despite a great location.",berlin,SORRY_2026,negative,,,,,,,,,,,,
38741ded-2a17-4b9b-9299-373916baca43,best destress resort earth 2 weeks destress tokyo ...,5,positive,RECOMMENDATION,"The review praises Desa Seni as the best hotel choice for relaxation, highlighting its exceptional service, beautiful setting, and suitability for families.","tokyo, santa, vietnam, bali, paris",,positive,Paris,France,NER_Location_Match,"Museum visit, Wine tasting",Santorini,Greece,RAG_Activity_Match,"Wine tasting, Volcano excursion",Debrecen,Hungary,RAG_Activity_Match,"Thermal bath visit, Local market tour"
ba664b25-2dc1-4789-a2ea-dd92ca0d45f4,"read, husband just returned dominican, not normall...",2,negative,DISCOUNT,"The review expresses dissatisfaction with the food, room conditions, and overall experience at the resort.",,SORRY_2026,negative,,,,,,,,,,,,
1bc2cb0d-17b7-4b13-80cb-71cc4adb6aa0,not worth no way st. regis reminds texas culture m...,2,negative,DISCOUNT,"The hotel experience was disappointing due to poor soundproofing, lack of attention to detail, and overpriced amenities.",texas,SORRY_2026,negative,,,,,,,,,,,,
e82a072a-01bf-4362-a0d1-56c63961cb12,not majestic stayed hotel week husband christmas/n...,2,negative,DISCOUNT,"The hotel experience was disappointing due to poor service, inadequate room facilities, and high costs for amenities, despite some positive aspects like location and views.","barcelona, new york, uk, fiji",SORRY_2026,negative,,,,,,,,,,,,
95a76512-bead-43b8-8f5d-4aa0fe878110,nice not husband honeymooned april 30- 7 riu palac...,3,negative,DISCOUNT,"The hotel experience was disappointing due to poor food quality, lack of dining options, and uncomfortable accommodations.",,SORRY_2026,neutral,,,,,,,,,,,,
6fd93515-13a0-4be2-ade0-c87e2a53236d,great budget hotel stayed days hotel second weeken...,4,positive,RECOMMENDATION,"The hotel exceeded expectations with spacious and clean rooms, friendly staff, and convenient amenities.",,,positive,Frankfurt,Germany,RAG_Activity_Match,"Skyline tour, Museum Embankment visit",Dresden,Germany,RAG_Activity_Match,"Historic center walk, Art gallery visit",Budapest,Hungary,RAG_Activity_Match,"Thermal bath visit, Nightlife tour"
baee5e5b-b0df-4852-a477-a90b76121f2e,"just ok daughter spent weekend sofitel, checked fr...",3,neutral,DISCOUNT,"The review highlights both positive aspects of the hotel, such as spacious rooms and good location, and negative experiences with housekeeping and key issues.",dc,SORRY_2026,neutral,,,,,,,,,,,,
de0609eb-6e02-4d59-90eb-2050552b2e86,"disappointing disappointed stay benjamin, original...",2,negative,DISCOUNT,"The stay was disappointing due to unfulfilled reservation guarantees, cleanliness issues, and rude service.",,SORRY_2026,negative,,,,,,,,,,,,
